WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code,P kg/per year
BAILLEUL SIR BERTHOULT SE,50.3428889,2.853842069,2033,8782.56,France,Nord-Pas de Calais,FRE1,FR,1463.76
BAPAUME (AVESNES/BAPAUME) SE,50.10553015,2.842670021,8175,35316,France,Nord-Pas de Calais,FRE1,FR,5886
BEAURAINVILLE,50.43310626,1.891812278,6300,27216,France,Nord-Pas de Calais,FRE1,FR,4536
BERCK,50.40369463,1.602338143,56667,244801.44,France,Nord-Pas de Calais,FRE1,France,40800.24
BETHUNE,50.54610518,2.645510189,69300,299376,France,Nord-Pas de Calais,FRE1,FR,49896
BEUVRY,50.53374441,2.695618924,34183,147670.56,France,Nord-Pas de Calais,FRE1,FR,24611.76
BIACHE-SAINT-VAAST,50.30923751,2.937526779,5400,23328,France,Nord-Pas de Calais,FRE1,FR,3888
BOULOGNE SUR MER,50.71129345,1.605934109,180000,777600,France,Nord-Pas de Calais,FRE1,France,129600
BREBIERES,50.33438826,3.032177934,5400,23328,France,Nord-Pas de Calais,FRE1,FR,3888
BRUAY-LA-BUISSIERE,50.50373297,2.57239674,45000,194400,France,Nord-Pas de Calais,FRE1,FR,32400
BULLY-LES-MINES MAZINGARBE,50.47582015,2.729531407,31500,136080,France,Nord-Pas de Calais,FRE1,FR,22680
JACQUES MONOD,50.95843503,1.916461788,120000,518400,France,Nord-Pas de Calais,FRE1,France,86400
CAMIERS,50.56997238,1.597914175,9833,42478.56,France,Nord-Pas de Calais,FRE1,France,7079.76
CARVIN,50.47049793,2.95665204,50000,216000,France,Nord-Pas de Calais,FRE1,FR,36000
COQUELLES,50.93344117,1.835557746,8683,37510.56,France,Nord-Pas de Calais,FRE1,France,6251.76
COURCELLES LES LENS,50.42191092,3.03036493,18000,77760,France,Nord-Pas de Calais,FRE1,FR,12960
DESVRES,50.67868408,1.830963212,6330,27345.6,France,Nord-Pas de Calais,FRE1,FR,4557.6
DOUVRIN,50.5260302,2.835836548,27000,116640,France,Nord-Pas de Calais,FRE1,FR,19440
DUISANS SE,50.31375347,2.671340402,4950,21384,France,Nord-Pas de Calais,FRE1,FR,3564
ECOURT ST QUENTIN,50.25190682,3.080173742,2000,8640,France,Nord-Pas de Calais,FRE1,FR,1440
ECQUES SE,50.67837126,2.303366861,4000,17280,France,Nord-Pas de Calais,FRE1,FR,2880
EPERLECQUES SE,50.81343084,2.156142199,3960,17107.2,France,Nord-Pas de Calais,FRE1,FR,2851.2
EPERLECQUES (ZAC MUGUET) SE,50.81887137,2.196005875,600,2592,France,Nord-Pas de Calais,FRE1,FR,432
FERQUES,50.82459296,1.782844811,2250,9720,France,Nord-Pas de Calais,FRE1,FR,1620
FEUCHY,50.29473921,2.847239491,3000,12960,France,Nord-Pas de Calais,FRE1,FR,2160
FOUQUIÈRES LES LENS,50.43866486,2.917364757,68000,293760,France,Nord-Pas de Calais,FRE1,FR,48960
FRETHUN SE,50.91647873,1.831951326,3600,15552,France,Nord-Pas de Calais,FRE1,France,2592
FREVENT (LIGNY-SUR-CANCHE),50.28113542,2.271745834,5833,25198.56,France,Nord-Pas de Calais,FRE1,FR,4199.76
FRUGES SE,50.51702386,2.149271522,8667,37441.44,France,Nord-Pas de Calais,FRE1,FR,6240.24
GUINES SE,50.87167291,1.873792671,6133,26494.56,France,Nord-Pas de Calais,FRE1,FR,4415.76
HAMES-BOUCRES,50.90601887,1.867101084,3000,12960,France,Nord-Pas de Calais,FRE1,FR,2160
HELFAUT SE,50.6964422,2.273148646,2000,8640,France,Nord-Pas de Calais,FRE1,FR,1440
HENIN BEAUMONT,50.4502245,2.972486099,78667,339841.44,France,Nord-Pas de Calais,FRE1,FR,56640.24
MARCONNELLE,50.37942336,2.013179378,13000,56160,France,Nord-Pas de Calais,FRE1,FR,9360
ISBERGUES,50.61548719,2.481098492,13000,56160,France,Nord-Pas de Calais,FRE1,FR,9360
ISQUES SE,50.68237287,1.630625659,9750,42120,France,Nord-Pas de Calais,FRE1,France,7020
LENS LOISON SOUS LENS,50.43897067,2.858581643,116667,504001.44,France,Nord-Pas de Calais,FRE1,FR,84000.24
LESTREM,50.6250396,2.664662413,4500,19440,France,Nord-Pas de Calais,FRE1,FR,3240
LILLERS,50.56620092,2.497460468,14200,61344,France,Nord-Pas de Calais,FRE1,FR,10224
LUMBRES SE,50.70904868,2.134170545,8300,35856,France,Nord-Pas de Calais,FRE1,FR,5976
MAMETZ SE,50.64583961,2.322830537,4500,19440,France,Nord-Pas de Calais,FRE1,FR,3240
MARQUION,50.21854669,3.083129861,5000,21600,France,Nord-Pas de Calais,FRE1,FR,3600
MARQUISE SE,50.80806328,1.693193617,7200,31104,France,Nord-Pas de Calais,FRE1,FR,5184
MERCK-SAINT-LIEVIN,50.62918408,2.116061324,2500,10800,France,Nord-Pas de Calais,FRE1,FR,1800
MONTREUIL,50.47011634,1.764373344,7200,31104,France,Nord-Pas de Calais,FRE1,FR,5184
NEUFCHATEL-HARDELOT NESLES,50.63313164,1.64345611,14583,62998.56,France,Nord-Pas de Calais,FRE1,France,10499.76
OPPY SE,50.3507347,2.887172379,2200,9504,France,Nord-Pas de Calais,FRE1,FR,1584
PELVES SE,50.29339778,2.906557766,2300,9936,France,Nord-Pas de Calais,FRE1,FR,1656
PERNES SE,50.48221558,2.421850124,2700,11664,France,Nord-Pas de Calais,FRE1,FR,1944
QUERNES,50.59653907,2.356137808,4600,19872,France,Nord-Pas de Calais,FRE1,FR,3312
RICHEBOURG NOUVELLE,50.57636944,2.735164002,3700,15984,France,Nord-Pas de Calais,FRE1,FR,2664
LES ATTAQUES,50.89195984,1.925904458,3800,16416,France,Nord-Pas de Calais,FRE1,FR,2736
SAILLY-SUR-LA-LYS,50.65483106,2.812391256,4800,20736,France,Nord-Pas de Calais,FRE1,FR,3456
ARQUES,50.74837771,2.291319076,35833,154798.56,France,Nord-Pas de Calais,FRE1,FR,25799.76
SAINT-POL-SUR-TERNOISE GAUCHIN,50.38414413,2.326832753,9000,38880,France,Nord-Pas de Calais,FRE1,FR,6480
ST VENANT SE,50.62564639,2.552552274,3600,15552,France,Nord-Pas de Calais,FRE1,FR,2592
SAMER SE,50.63669251,1.725386883,4000,17280,France,Nord-Pas de Calais,FRE1,FR,2880
LE TOUQUET PARIS PLAGE,50.50964675,1.633170174,60000,259200,France,Nord-Pas de Calais,FRE1,France,43200
VIEILLE-EGLISE,50.9516713,2.053470417,9183,39670.56,France,Nord-Pas de Calais,FRE1,FR,6611.76
VIOLAINES SE,50.54963464,2.767719091,3833,16558.56,France,Nord-Pas de Calais,FRE1,FR,2759.76
VITRY EN ARTOIS,50.32909526,2.995203269,7750,33480,France,Nord-Pas de Calais,FRE1,FR,5580
WIMEREUX,50.77201465,1.617347943,25000,108000,France,Nord-Pas de Calais,FRE1,France,18000
WINGLES,50.49756935,2.875796602,34200,147744,France,Nord-Pas de Calais,FRE1,FR,24624
WIZERNES SE,50.70909272,2.245619018,7000,30240,France,Nord-Pas de Calais,FRE1,FR,5040
ABBEVILLE,50.11333202,1.817014182,65000,280800,France,Picardie,FRE2,FR,46800
AILLY-SUR-NOYE,49.76750013,2.364888043,6000,25920,France,Picardie,FRE2,FR,4320
AILLY-SUR-SOMME SE,49.93095342,2.193710032,6800,29376,France,Picardie,FRE2,FR,4896
AIRAINES,49.96886416,1.947822701,11667,50401.44,France,Picardie,FRE2,FR,8400.24
ALBERT,49.99132889,2.64472135,13500,58320,France,Picardie,FRE2,FR,9720
AMIENS,49.9253903,2.251267395,260000,1123200,France,Picardie,FRE2,FR,187200
AULT - WOIGNARUE - SE,50.11237163,1.460593661,7200,31104,France,Picardie,FRE2,FR,5184
POULAINVILLE,49.93965246,2.311911269,1666,7197.12,France,Picardie,FRE2,FR,1199.52
BEAUVAL SE,50.11962788,2.33669623,2500,10800,France,Picardie,FRE2,FR,1800
BERNAVILLE SE,50.1312327,2.148977274,1540,6652.8,France,Picardie,FRE2,FR,1108.8
BOUVAINCOURT-SUR-BRESLE,50.01847057,1.494457344,13700,59184,France,Picardie,FRE2,FR,9864
BRAY-SUR-SOMME SE,49.93676247,2.710514696,2500,10800,France,Picardie,FRE2,FR,1800
CAYEUX-SUR-MER,50.18158569,1.504846038,6033,26062.56,France,Picardie,FRE2,FR,4343.76
CHAULNES SE,49.80547616,2.805460614,3216,13893.12,France,Picardie,FRE2,FR,2315.52
CHEPY SE,50.07860626,1.65717819,2400,10368,France,Picardie,FRE2,FR,1728
CORBIE NOUVELLE SE,49.90530393,2.48841147,13500,58320,France,Picardie,FRE2,FR,9720
LE CROTOY,50.2220689,1.628599126,11883,51334.56,France,Picardie,FRE2,FR,8555.76
DOMART-EN-PONTHIEU SE,50.07000281,2.133089375,5833,25198.56,France,Picardie,FRE2,FR,4199.76
DOULLENS,50.16364227,2.320211099,10500,45360,France,Picardie,FRE2,FR,7560
FEUQUIERES-EN-VIMEU SE,50.07019112,1.601045539,7000,30240,France,Picardie,FRE2,FR,5040
FLESSELLES SE,49.98988264,2.256296002,2250,9720,France,Picardie,FRE2,FR,1620
FLIXECOURT SE,50.01173268,2.074953231,5400,23328,France,Picardie,FRE2,FR,3888
FORT-MAHON-PLAGE,50.34619952,1.591060959,35000,151200,France,Picardie,FRE2,France,25200
FRIVILLE-ESCARBOTIN,50.09615357,1.551737564,8000,34560,France,Picardie,FRE2,FR,5760
HAM,49.74283071,3.063167941,13500,58320,France,Picardie,FRE2,FR,9720
MERICOURT-LABBE,49.94900464,2.567030763,2100,9072,France,Picardie,FRE2,FR,1512
MOISLAINS,49.97970256,2.959772273,1800,7776,France,Picardie,FRE2,FR,1296
MONTDIDIER,49.64952621,2.561851575,11000,47520,France,Picardie,FRE2,FR,7920
MOREUIL SE,49.7740279,2.475462904,8000,34560,France,Picardie,FRE2,FR,5760
NESLE NOUVELLE SE,49.75234268,2.916879046,3600,15552,France,Picardie,FRE2,FR,2592
PERONNE,49.9261234,2.925821114,18800,81216,France,Picardie,FRE2,FR,13536
PICQUIGNY SE,49.94803711,2.139285492,4000,17280,France,Picardie,FRE2,FR,2880
PLACHY-BUYON SE,49.82213508,2.216383155,2250,9720,France,Picardie,FRE2,FR,1620
POIX-DE-PICARDIE,49.77192725,1.99133252,4183,18070.56,France,Picardie,FRE2,FR,3011.76
PONT-REMY SE,50.05303043,1.89749069,2700,11664,France,Picardie,FRE2,FR,1944
LE QUESNE SE,49.86791334,1.793318614,3500,15120,France,Picardie,FRE2,FR,2520
ROSIERES-SANTERRE (VRELY) SE,49.80593239,2.691251908,9000,38880,France,Picardie,FRE2,FR,6480
ROYE SE,49.69591757,2.785638797,11000,47520,France,Picardie,FRE2,FR,7920
RUE SE,50.27475332,1.659217932,4050,17496,France,Picardie,FRE2,FR,2916
ST-OUEN SE,50.0345435,2.110754042,10050,43416,France,Picardie,FRE2,FR,7236
ST-VALERY-SUR-SOMME SE,50.17350991,1.649868445,8333,35998.56,France,Picardie,FRE2,FR,5999.76
