location,name,country,province,kg_n_per_year,passengers,year,country_code,name_en,kg_p_per_year
"38.76194444, -27.09083333",Lajes Airport,,,35.01036,45468,,,Lajes Airport,3.501036
"-15.95905556, -5.645916666",Saint Helena Airport,,,0.44891,583,,,Saint Helena Airport,0.044891
"51.84138889, -8.491111111",Cork Airport,Ireland,Southern,190.60349,247537,,IE,Cork Airport,19.060349
"50.90138889, 4.484444444",Brussels Airport,Belgium,Prov. Vlaams-Brabant,1207.67801,1568413,,BE,Brussels Airport,120.767801
"37.46666667, 15.06388889",Catania-Fontanarossa Airport,Italy,Sicilia,7776.56957,10099441,,IT,Catania-Fontanarossa Airport,777.656957
"48.46212, -5.06231",Ushant Airport,,,2.56256,3328,,,Ushant Airport,0.256256
"65.46111111, 12.2175","Brønnøysund Airport, Brønnøy",Norway,Nord-Norge,98.58464,128032,,NO,"Brønnøysund Airport, Brønnøy",9.858464
"51.57027778, 0.693333333",London Southend Airport,,,68.80797,89361,,,London Southend Airport,6.880797
"38.89138889, -6.821388888",Badajoz Airport,Spain,Extremadura,50.48428,65564,,ES,Badajoz Airport,5.048428
"52.6758, 1.28278",Norwich International Airport,,,245.6608,319040,,,Norwich International Airport,24.56608
"50.73444444, -3.413888888",Exeter Airport,,,294.29246,382198,,,Exeter Airport,29.429246
"49.173333, -0.45",Caen – Carpiquet Airport,France,Basse-Normandie,232.07415,301395,,FR,Caen – Carpiquet Airport,23.207415
"64.6, 40.71666667",Talagi Airport,,,770,1000000,,,Talagi Airport,77
"51.280925, 6.757311111",Düsseldorf Airport,Germany,Düsseldorf,12375.39072,16071936,,DE,Düsseldorf Airport,1237.539072
"-9.3522, -140.0778",Ua Pou Airport,,,2.55717,3321,,,Ua Pou Airport,0.255717
"35.42068333, 27.14672778",Karpathos National Airport,,,211.75539,275007,,,Karpathos National Airport,21.175539
"53.353889, -2.275",Manchester Airport,,,17972.12186,23340418,,,Manchester Airport,1797.212186
"45.53416667, 4.297222222",Saint-Étienne-Loire Airport,France,Rhône-Alpes,2.54485,3305,,FR,Saint-Étienne-Loire Airport,0.254485
"59.80027778, 30.2625",Pulkovo Airport,,,13967.877,18140100,,,Pulkovo Airport,1396.7877
"35.339722, 25.180278","Heraklion International Airport ""Nikos Kazantzakis""",,,6227.10242,8087146,,,"Heraklion International Airport ""Nikos Kazantzakis""",622.710242
"37.42208649, 24.94778178",Syros Island National Airport,Greece,South Aegean,12.23145,15885,,Greece,Syros Island National Airport,1.223145
"53.47527778, -1.004166666",Doncaster Sheffield Airport,,,738.67717,959321,,,Doncaster Sheffield Airport,73.867717
"67.26916667, 14.36527778",Bodø Airport,,,1262.39113,1639469,,,Bodø Airport,126.239113
"35.21610833, 26.101325","Sitia Public Airport ""Vitsentzos Kornaros""",Greece,Crete,17.47284,22692,,Greece,"Sitia Public Airport ""Vitsentzos Kornaros""",1.747284
"54.6575, -6.215833",Belfast International Airport,,,3710.02478,4818214,,,Belfast International Airport,371.002478
"28.04444444, -16.5725",Tenerife South Airport,Spain,Canarias,8332.71131,10821703,,ES,Tenerife South Airport,833.271131
"47.8975, 2.16416667",Orléans – Saint-Denis-de-l'Hôtel Airport,France,Centre — Val de Loire,1.35597,1761,,FR,Orléans – Saint-Denis-de-l'Hôtel Airport,0.135597
"37.435111, 25.348083","Mykonos National Airport ""Manto Mavrogeni""",Greece,South Aegean,1294.26836,1680868,,Greece,"Mykonos National Airport ""Manto Mavrogeni""",129.426836
"40.91333333, 24.61916667","Kavala International Airport ""Alexander the Great""",Greece,"Anatoliki Makedonia, Thraki",193.74355,251615,,Greece,"Kavala International Airport ""Alexander the Great""",19.374355
"37.77472222, -0.812222222",Murcia-San Javier Airport,Spain,Región de Murcia,0,0,,ES,Murcia-San Javier Airport,0
"35.8575, 14.4775",Malta International Airport,Malta,Malta,4504.88423,5850499,,MT,Malta International Airport,450.488423
"55.60666667, 49.28166667",Kazan International Airport,,,3093.86,4018000,,,Kazan International Airport,309.386
"-17.35527778, -138.445",Tatakoto Airport,,,1.39986,1818,,,Tatakoto Airport,0.139986
"40.519722, 22.970917","Thessaloniki Airport ""Makedonia""",Greece,Central Macedonia,4560.84475,5923175,,Greece,"Thessaloniki Airport ""Makedonia""",456.084475
"43.7575, 4.416388888",Nîmes-Alès-Camargue-Cévennes Airport,France,Languedoc-Roussillon,142.63634,185242,,FR,Nîmes-Alès-Camargue-Cévennes Airport,14.263634
"63.72027778, 23.13916667",Kokkola-Pietarsaari Airport,Finland,Länsi-Suomi,13.24246,17198,,FI,Kokkola-Pietarsaari Airport,1.324246
"52.83055556, -1.327777777",East Midlands Airport,,,2453.50259,3186367,,,East Midlands Airport,245.350259
"40.85586944, 25.95626389","Alexandroupolis International Airport ""Democritus""",Greece,"Anatoliki Makedonia, Thraki",192.17968,249584,,Greece,"Alexandroupolis International Airport ""Democritus""",19.217968
"41.61027778, 41.59944444",Batumi International Airport,,,475.00145,616885,,,Batumi International Airport,47.500145
"28.029625, -17.2146",La Gomera Airport,Spain,Canarias,73.27551,95163,,ES,La Gomera Airport,7.327551
"50.4592, 4.45382",Brussels South Charleroi Airport,Belgium,Prov. Hainaut,6369.44,8272000,,BE,Brussels South Charleroi Airport,636.944
"55.87194444, -4.433055555",Glasgow Airport,,,5017.34233,6516029,,,Glasgow Airport,501.734233
"-20.64166667, 166.5733333",Ouvéa Airport,,,51.98193,67509,,,Ouvéa Airport,5.198193
"69.78666667, 20.95972222",Sørkjosen Airport,Norway,Nord-Norge,14.43365,18745,,NO,Sørkjosen Airport,1.443365
"59.58944444, 16.63361111",Stockholm Västerås Airport,Sweden,Östra Mellansverige,71.6716,93080,,SE,Stockholm Västerås Airport,7.16716
"44.45861111, 18.72472222",Tuzla International Airport,BA,Federacija Bosne i Hercegovine,365.23872,474336,,BA,Tuzla International Airport,36.523872
"78.24611111, 15.46555556",Svalbard Airport,,,131.11329,170277,,,Svalbard Airport,13.111329
"-15.24638889, -146.6202778",Arutua Airport,,,8.78493,11409,,,Arutua Airport,0.878493
"53.58472222, 14.90222222","""Solidarity"" Szczecin-Goleniów Airport",Poland,Zachodniopomorskie,322.71085,419105,,PL,"""Solidarity"" Szczecin-Goleniów Airport",32.271085
"44.8975, 2.416666666",Aurillac Airport,France,Auvergne,25.23829,32777,,FR,Aurillac Airport,2.523829
"47.599696, 7.5316",EuroAirport Basel-Mulhouse-Freiburg,France,Alsace,5429.19685,7050905,,FR,EuroAirport Basel-Mulhouse-Freiburg,542.919685
"60.025, 13.58055556",Hagfors Airport,Sweden,Norra Mellansverige,1.43528,1864,,SE,Hagfors Airport,0.143528
"48.11027778, 7.359166666",Colmar-Houssen Airport,France,Alsace,1.90652,2476,,FR,Colmar-Houssen Airport,0.190652
"60.42194444, 15.515",Dala Airport,Sweden,Norra Mellansverige,8.49079,11027,,SE,Dala Airport,0.849079
"-23.08333333, -134.8833333",Totegegie Airport,,,7.14175,9275,,,Totegegie Airport,0.714175
"48.23527778, 14.18805556",Linz Airport,Austria,Oberösterreich,159.97982,207766,,AT,Linz Airport,15.997982
"59.41638889, 24.79916667",Tallinn Airport,Estonia,Eesti,2116.15635,2748255,,EE,Tallinn Airport,211.615635
"43.21583333, 2.308611111",Carcassonne Airport,France,Languedoc-Roussillon,215.04175,279275,,FR,Carcassonne Airport,21.504175
"58.21555556, -6.331111111",Stornoway Airport,,,77.86317,101121,,,Stornoway Airport,7.786317
"43.185, -0.001944444",Tarbes-Lourdes-Pyrénées Airport,France,Midi-Pyrénées,310.56025,403325,,FR,Tarbes-Lourdes-Pyrénées Airport,31.056025
"43.28277778, 17.84583333",Mostar International Airport,BA,Federacija Bosne i Hercegovine,8.24747,10711,,BA,Mostar International Airport,0.824747
"-22.25833333, 166.4727778",Nouméa Magenta Airport,,,293.02889,380557,,,Nouméa Magenta Airport,29.302889
"51.382778, -2.719167",Bristol Airport,,,6117.67926,7945038,,,Bristol Airport,611.767926
"-14.31138889, -178.0661111",Pointe Vele Airport,,,10.01693,13009,,,Pointe Vele Airport,1.001693
"43.35638889, -1.790555555",San Sebastián Airport,,,295.35968,383584,,,San Sebastián Airport,29.535968
"44.54595, 7.62182",Cuneo International Airport,Italy,Piemonte,123.34553,160189,,IT,Cuneo International Airport,12.334553
"43.56361111, -6.034722222",Asturias Airport,Spain,Principado de Asturias,1120.16751,1454763,,ES,Asturias Airport,112.016751
"37.06838333, 22.02563611","Kalamata International Airport ""Captain Vasilis Konstantakopoulos""",Greece,Peloponnese,273.00042,354546,,Greece,"Kalamata International Airport ""Captain Vasilis Konstantakopoulos""",27.300042
"-13.23828056, -176.1992278",Hihifo Airport,,,24.60997,31961,,,Hihifo Airport,2.460997
"37.80363889, -1.124111111",Región de Murcia International Airport,Spain,Región de Murcia,645.9838,838940,,ES,Región de Murcia International Airport,64.59838
"61.58361111, 5.024722222",Florø Airport,,,115.76103,150339,,,Florø Airport,11.576103
"43.66527778, 7.215",Nice Côte d'Azur Airport,,,9331.66311,12119043,,,Nice Côte d'Azur Airport,933.166311
"42.88277778, -2.724444444",Vitoria Airport,Spain,País Vasco,181.09322,235186,,ES,Vitoria Airport,18.109322
"62.09333333, 129.7716667",Yakutsk Airport,,,759.26928,986064,,,Yakutsk Airport,75.926928
"44.94138889, 17.2975",Banja Luka International Airport,BA,Republika Srpska,264.11693,343009,,BA,Banja Luka International Airport,26.411693
"45.50527778, 12.35194444",Venice Marco Polo Airport,Italy,Veneto,7175.75012,9319156,,IT,Venice Marco Polo Airport,717.575012
"49.454444, 2.112778",Beauvais-Tillé Airport,France,Picardie,3553.10648,4614424,,FR,Beauvais-Tillé Airport,355.310648
"44.01944444, 12.60944444",Federico Fellini International Airport,Italy,Emilia-Romagna,165.43527,214851,,IT,Federico Fellini International Airport,16.543527
"-21.09583333, 167.8038889",Tiga Airport,,,1.55232,2016,,,Tiga Airport,0.155232
"57.5425, -4.0475",Inverness Airport,,,538.98614,699982,,,Inverness Airport,53.898614
"36.405278, 28.086112","Rhodes International Airport ""Diagoras""",,,4507.51609,5853917,,,"Rhodes International Airport ""Diagoras""",450.751609
"56.23, 43.78666667",Nizhny Novgorod International Airport,,,924,1200000,,,Nizhny Novgorod International Airport,92.4
"52.42103, 16.82633",Poznań-Ławica Airport,Poland,Wielkopolskie,1734.36956,2252428,,PL,Poznań-Ławica Airport,173.436956
"42.58888889, -5.655555555",León Airport,Spain,Castilla y León,34.60457,44941,,ES,León Airport,3.460457
"69.05583333, 18.54027778",Bardufoss Airport,Norway,Nord-Norge,138.48681,179853,,NO,Bardufoss Airport,13.848681
"43.90666667, 4.901944444",Avignon – Caumont Airport,France,Provence-Alpes-Côte d’Azur,7.63147,9911,,FR,Avignon – Caumont Airport,0.763147
"45.64, 5.881111111",Chambéry Airport,France,Rhône-Alpes,93.1469,120970,,FR,Chambéry Airport,9.31469
"64.13, -21.94055556",Reykjavík Airport,Iceland,Ísland,268.55521,348773,,IS,Reykjavík Airport,26.855521
"46.86027778, 1.721111111","Châteauroux-Centre ""Marcel Dassault"" Airport",France,Centre — Val de Loire,2.52098,3274,,FR,"Châteauroux-Centre ""Marcel Dassault"" Airport",0.252098
"54.89, 20.5925",Khrabrovo Airport,,,2881.63799,3742387,,,Khrabrovo Airport,288.163799
"62.65888889, 29.62444444",Joensuu Airport,Finland,Pohjois- ja Itä-Suomi,14.44135,18755,,FI,Joensuu Airport,1.444135
