WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code,P kg/per year
KYPARISSIA,37.2383443,21.65402174,13950,60264,Greece,Western Greece,EL63,Greece,10044
LAGADAS,40.73286796,23.06523025,18333,79198.56,Greece,Central Macedonia,EL52,Greece,13199.76
LAMIA,38.87165403,22.47225156,104200,450144,Greece,Central Greece,EL64,Greece,75024
LARISSA,39.6643932,22.44039026,227500,982800,Greece,Thessaly,EL61,Greece,163800
LECHENA,37.94969261,21.22704106,13933,60190.56,Greece,Western Greece,EL63,Greece,10031.76
LEFKADA,38.82148668,20.71669801,17300,74736,Greece,Ionian Islands,EL62,Greece,12456
LEVADIA,38.45349205,22.91404991,30000,129600,Greece,Central Greece,EL64,Greece,21600
LIMNI,38.75257047,23.32938327,8200,35424,Greece,Central Greece,EL64,Greece,5904
LITOCHORO (S. PIERIA),40.03615997,22.5662233,68900,297648,Greece,Central Macedonia,EL52,Greece,49608
LIVADI,40.12071542,22.16224589,5000,21600,Greece,Thessaly,EL61,Greece,3600
LYGOURIO,37.59983148,23.03603052,5000,21600,Greece,Peloponnese,EL65,Greece,3600
MALIA,35.28765903,25.48249938,26500,114480,Greece,Crete,EL43,Greece,19080
MARKOPOULO,37.86469487,23.93803697,40000,172800,Greece,Aττική,EL30,Greece,28800
MATALA,35.00005494,24.76976076,10000,43200,Greece,Crete,EL43,Greece,7200
MEGARA,38.01608635,23.36923196,43330,187185.6,Greece,Aττική,EL30,Greece,31197.6
MENIDI,39.052742,21.101084,5000,21600,Greece,Epirus,EL54,Greece,3600
MESSOLOGHI,38.36820995,21.45902017,17500,75600,Greece,Western Greece,EL63,Greece,12600
METAMORPHOSI,38.07787392,23.77380744,500000,2160000,Greece,Aττική,EL30,Greece,360000
METHANA,37.5615332,23.38665967,11030,47649.6,Greece,Aττική,EL30,Greece,7941.6
METSOVO,39.76507507,21.18510657,8000,34560,Greece,Epirus,EL54,Greece,5760
MIRES,35.04401,24.849674,8500,36720,Greece,Crete,EL43,Greece,6120
MITHYMNA,39.37240608,26.17364174,5650,24408,Greece,North Aegean,EL41,Greece,4068
MOLAI,36.8044,22.8559,4100,17712,Greece,Peloponnese,EL65,Greece,2952
MONEMVASSIA,36.67559977,23.03733451,8000,34560,Greece,Peloponnese,EL65,Greece,5760
MORAITIKA,39.47889725,19.92914281,10833,46798.56,Greece,Ionian Islands,EL62,Greece,7799.76
MYGDONIA,40.75066977,23.01553775,13233,57166.56,Greece,Central Macedonia,EL52,Greece,9527.76
MYRINA,39.86443945,25.05537411,10800,46656,Greece,North Aegean,EL41,Greece,7776
MYTILINI,39.1297359,26.54619888,40000,172800,Greece,North Aegean,EL41,Greece,28800
NAFPAKTOS,38.37845838,21.85239278,20000,86400,Greece,Western Greece,EL63,Greece,14400
NAOUSSA,40.65055515,22.09734252,29000,125280,Greece,Central Macedonia,EL52,Greece,20880
NAXOS,37.08256047,25.38399307,40917,176761.44,Greece,South Aegean,EL42,Greece,29460.24
NEA ARTAKI,38.54643457,23.66139124,12000,51840,Greece,Central Greece,EL64,Greece,8640
NEA FOKEA,40.12203628,23.39052718,10000,43200,Greece,Central Macedonia,EL52,Greece,7200
NEA KALLIKRATIA,40.32950559,23.07458552,36000,155520,Greece,Central Macedonia,EL52,Greece,25920
NEA KYDONIA CRETE,35.5125697,23.86701265,60000,259200,Greece,Crete,EL43,Greece,43200
NEA MOUDANIA,40.25088407,23.29021718,20000,86400,Greece,Central Macedonia,EL52,Greece,14400
NEA PERAMOS KAVALAS,40.83298899,24.28514568,20000,86400,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,14400
NEA POTIDEA,40.1819102,23.34707128,12000,51840,Greece,Central Macedonia,EL52,Greece,8640
NEA RODA,40.36732865,23.94229529,6000,25920,Greece,Central Macedonia,EL52,Greece,4320
NEA SANTA,40.8510681,22.8899669,4100,17712,Greece,Central Macedonia,EL52,Greece,2952
NEA TRIGLIA,40.324905,23.229427,8000,34560,Greece,Central Macedonia,EL52,Greece,5760
NEAPOLI LAKONIAS,36.5131,23.0589,6800,29376,Greece,Peloponnese,EL65,Greece,4896
NEAPOLI VOIOU,40.320536,21.419232,3100,13392,Greece,Western Macedonia,EL53,Greece,2232
NEOS MARMARAS,40.09930899,23.79284469,20000,86400,Greece,Central Macedonia,EL52,Greece,14400
NESTOR,37.00928355,21.67741211,12000,51840,Greece,Peloponnese,EL65,Greece,8640
NIKISSIANI,40.967417,24.183482,8000,34560,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,5760
NIKITI,40.23601498,23.6675607,17000,73440,Greece,Central Macedonia,EL52,Greece,12240
NYDRI,38.70776582,20.69185763,20000,86400,Greece,Ionian Islands,EL62,Greece,14400
OLYMPIADA,40.584146,23.762393,3200,13824,Greece,Central Macedonia,EL52,Greece,2304
ORESTIADA,41.4791644,26.54552291,30000,129600,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,21600
ORMYLIA,40.28350489,23.54612577,5000,21600,Greece,Central Macedonia,EL52,Greece,3600
OURANOPOLI,40.33117998,23.99414696,2500,10800,Greece,Central Macedonia,EL52,Greece,1800
PALAION TSIFLIKION,40.90082495,24.3612427,12000,51840,Greece,"Aνατολική Μακεδονία, Θράκη",EL51,Greece,8640
