name,name_en,lat,lon,kg_n_per_year,country_code,country,province,workers,liters,__type,kg_p_per_year
way/1241933263,way/1241933263,47.5823362630189,19.0125403073893,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1241933264,way/1241933264,47.5824669,19.01275545,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1241933265,way/1241933265,47.5826295218882,19.0124723183495,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1241933266,way/1241933266,47.5824775485702,19.0122845258617,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1241933267,way/1241933267,47.5827832020157,19.012664447404,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1244697224,way/1244697224,47.5538687066379,18.9577284303653,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1244697225,way/1244697225,47.5539534432162,18.9581312854394,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1244704012,way/1244704012,47.5448897925406,18.9458302793129,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1244718079,way/1244718079,47.5596449364846,18.9396506121434,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1244718093,way/1244718093,47.56858985,18.9341841,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1244725324,way/1244725324,47.5509562184063,18.9523696811695,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1244725325,way/1244725325,47.5509375754484,18.9518337908268,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1244725326,way/1244725326,47.5509179073385,18.952102134773,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1244725329,way/1244725329,47.550744961739,18.9512366708336,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1244829848,way/1244829848,47.4712718839237,19.0763500336723,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1244829849,way/1244829849,47.470884161481,19.0752583590701,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1246411187,way/1246411187,47.5670793150924,18.9588378520075,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1247542381,way/1247542381,47.53638105,19.0107782,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1251095752,way/1251095752,47.4975325222383,19.0366984836108,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1260748973,way/1260748973,47.5361901951725,19.069244739875,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1266587714,way/1266587714,47.5084131126529,19.0897047123289,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
way/1267389782,way/1267389782,47.5342556363048,19.0025493021117,99.645,HU,Hungary,Budapest,150,28470,construction,3.8241
