location,name,country,province,kg_n_per_year,capacity,country_code,name_en,kg_p_per_year
"50.611962, 3.130631",Pierre Mauroy Stadium,France,Nord-Pas de Calais,1890.0,50000.0,FR,Pierre Mauroy Stadium,192.5
"51.488167, -0.302639",Griffin Park,,,562.0,14863.0,,Griffin Park,34.3335
"53.383436, -2.335158",Moss Lane,,,230.0,6085.0,,Moss Lane,14.0564
"57.3873, 21.5704",Ventspils Olimpiskais Stadions,Latvia,Latvija,121.0,3200.0,LV,Ventspils Olimpiskais Stadions,6.16
"42.907901, 47.618587",Anji Arena,,,1134.0,30000.0,,Anji Arena,87.78
"51.306333, -0.558811",Kingfield Stadium,,,228.0,6036.0,,Kingfield Stadium,13.9432
"51.45111111, -0.02166667",Ladywell Arena,,,,,,Ladywell Arena,0
"55.8499, -4.2013",Celtic Park,,,,,,Celtic Park,0
"51.604444444, -0.066388888",Tottenham Hotspur Stadium,,,2376.0,62850.0,,Tottenham Hotspur Stadium,241.972
"47.74869, -3.36929",Stade du Moustoir,France,Bretagne,699.0,18500.0,FR,Stade du Moustoir,54.131
"47.74869, -3.36929",Stade du Moustoir,France,Bretagne,717.0,18970.0,FR,Stade du Moustoir,54.131
"47.74869, -3.36929",Stade du Moustoir,France,Bretagne,719.0,19010.0,FR,Stade du Moustoir,54.131
"47.079722, 8.283611",Stadion Gersag,Switzerland,Zentralschweiz,132.0,3500.0,CH,Stadion Gersag,6.7375
"-34.861525, -56.209033",Estadio José Nasazzi,,,567.0,15000.0,,Estadio José Nasazzi,43.89
"49.239, 8.888278",PreZero-Arena,Germany,Karlsruhe,1140.0,30150.0,DE,PreZero-Arena,88.2189
"38.161389, 15.520833",Stadio San Filippo,Italy,Sicilia,1432.0,37895.0,IT,Stadio San Filippo,110.881
"51.4925, 7.451667",Westfalenstadion,Germany,Arnsberg,3075.0,81359.0,DE,Westfalenstadion,407.202
"51.554502777, 7.067588888",Arena AufSchalke,Germany,Münster,2354.0,62271.0,DE,Arena AufSchalke,239.743
"52.36, 9.731111",Niedersachsenstadion,Germany,Hannover,1852.0,49000.0,DE,Niedersachsenstadion,188.65
"50.068611, 8.645278",Waldstadion,Germany,Darmstadt,1947.0,51500.0,DE,Waldstadion,198.275
"50.950278, -2.674881",Huish Park,,,362.0,9565.0,,Huish Park,22.0952
"43.238331, 76.92435",Almaty Central Stadium,,,900.0,23804.0,,Almaty Central Stadium,69.6505
"51.248386, -0.754789",Recreation Ground,,,268.0,7100.0,,Recreation Ground,16.401
"9.013306, 38.756417",Addis Ababa Stadium,,,1323.0,35000.0,,Addis Ababa Stadium,102.41
"57.628729, 39.867486",Shinnik Stadium,,,869.0,22990.0,,Shinnik Stadium,67.2687
"36.893611111, 30.646666666",Akdeniz University Stadium,TR,"Antalya, Isparta, Burdur",268.0,7100.0,TR,Akdeniz University Stadium,16.401
"50.856944444, 6.005833333",Parkstad Limburg Stadion,Netherlands,Limburg (NL),755.0,19979.0,NL,Parkstad Limburg Stadion,58.4586
"37.676422, 126.743056",Goyang Stadium,,,1562.0,41311.0,,Goyang Stadium,159.047
"51.4862, -2.58313",Memorial Stadium,,,457.0,12100.0,,Memorial Stadium,27.951
"51.906158, -2.060211",Whaddon Road,,,267.0,7066.0,,Whaddon Road,16.3225
"46.081111, 14.521389",Stožice Stadium,Slovenia,Zahodna Slovenija,606.0,16038.0,SI,Stožice Stadium,46.9272
"55.80355, 37.741169",RZD Arena,,,1033.0,27320.0,,RZD Arena,79.9383
"52.565433, -1.990706",Bescot Stadium,,,427.0,11300.0,,Bescot Stadium,26.103
"54.17583611, 45.192175",Start Stadium,,,438.0,11581.0,,Start Stadium,26.7521
"59.359444, 26.380833",Rakvere Linnastaadion,Estonia,Eesti,95.0,2500.0,EE,Rakvere Linnastaadion,4.8125
"53.916508, -3.024728",Highbury Stadium,,,201.0,5327.0,,Highbury Stadium,12.3054
"52.68863, -2.74933",New Meadow,,,373.0,9875.0,,New Meadow,22.8113
"53.373722, -3.0325",Prenton Park,,,626.0,16567.0,,Prenton Park,48.475
"53.253442, -1.427203",Proact Stadium,,,397.0,10504.0,,Proact Stadium,24.2642
"52.821906, -1.626958",Pirelli Stadium,,,261.0,6912.0,,Pirelli Stadium,15.9667
"51.384166666, 0.560833333",Priestfield Stadium,,,438.0,11582.0,,Priestfield Stadium,26.7544
"50.476408, -3.523825",Plainmoor,,,246.0,6500.0,,Plainmoor,15.015
