location,name,country,province,kg_n_per_year,students,country_code,name_en,kg_p_per_year
"46.498113, 11.35478",Free University of Bozen-Bolzano,Italy,Provincia Autonoma di Bolzano/Bozen,3500.861,4216,IT,Free University of Bozen-Bolzano,350.0861
"48.8273, 2.3751",Institut national des langues et civilisations orientales,France,Ile-de-France,5881.546125,7083,FR,Institut national des langues et civilisations orientales,588.1546125
"51.5166, -0.1427",University of Westminster,,,20518.56625,24710,,University of Westminster,2051.856625
"51.5194, -0.0923",Guildhall School of Music and Drama,,,900.956875,1085,,Guildhall School of Music and Drama,90.0956875
"55.8665, -4.2507",Glasgow Caledonian University,,,14153.74188,17045,,Glasgow Caledonian University,1415.374188
"52.63611111, -1.133055555",University of Leicester,,,14801.43438,17825,,University of Leicester,1480.143438
"56.46055556, -2.97",University of Dundee,,,15453.27875,18610,,University of Dundee,1545.327875
"55.84555556, -4.423888888",University of the West of Scotland,,,12916.48313,15555,,University of the West of Scotland,1291.648313
"55.8007, 37.5324",Finance University under the Government of the Russian Federation,,,39618.852,47712,,Finance University under the Government of the Russian Federation,3961.8852
"50.0687, 19.9553",Krakow University of Economics,Poland,Małopolskie,19098.625,23000,PL,Krakow University of Economics,1909.8625
"55.95333333, -3.189166666",Heriot-Watt University,,,24080.875,29000,,Heriot-Watt University,2408.0875
"55.789, 37.5881",Russian University of Transport,,,74733.75,90000,,Russian University of Transport,7473.375
"59.9258, 30.3164",Saint-Petersburg State University of Architecture and Civil Engineering,,,9134.125,11000,,Saint-Petersburg State University of Architecture and Civil Engineering,913.4125
"52.4, 13.1",Konrad Wolf Film University of Babelsberg,Germany,Brandenburg,767.2665,924,DE,Konrad Wolf Film University of Babelsberg,76.72665
"50.458, 30.4735",Kyiv National Economic University named after Vadym Hetman,,,29893.5,36000,,Kyiv National Economic University named after Vadym Hetman,2989.35
"50.00444444, 36.23416667",National University of Kharkiv,,,12978.76125,15630,,National University of Kharkiv,1297.876125
"50.1296, 14.3739",Czech University of Life Sciences Prague,Czechia,Praha,16607.5,20000,CZ,Czech University of Life Sciences Prague,1660.75
"50.1009, 14.423",University of Chemistry and Technology,Czechia,Praha,3414.502,4112,CZ,University of Chemistry and Technology,341.4502
"44.41336111, 26.09777778",Politehnica University of Bucharest,Romania,Bucureşti-Ilfov,21148.82088,25469,RO,Politehnica University of Bucharest,2114.882088
"47.16222222, 27.58888889",Alexandru Ioan Cuza University,Romania,Nord-Est,33215,40000,RO,Alexandru Ioan Cuza University,3321.5
"44.81777778, 20.45694444",University of Arts in Belgrade,RS,City of Belgrade,2.098357625,2.527,RS,University of Arts in Belgrade,0.2098357625
"42.142086, 24.741454",Plovdiv University,Bulgaria,Yuzhen tsentralen,14946.75,18000,BG,Plovdiv University,1494.675
"41.388, 2.1153",Polytechnic University of Catalonia,Spain,Cataluña,24755.1395,29812,ES,Polytechnic University of Catalonia,2475.51395
"41.473538, 2.085244",Polytechnic University of Catalonia,Spain,Cataluña,24755.1395,29812,ES,Polytechnic University of Catalonia,2475.51395
"41.56111111, 2.008055555",Polytechnic University of Catalonia,Spain,Cataluña,24755.1395,29812,ES,Polytechnic University of Catalonia,2475.51395
"41.224277, 1.725905",Polytechnic University of Catalonia,Spain,Cataluña,24755.1395,29812,ES,Polytechnic University of Catalonia,2475.51395
"41.72638889, 1.829166666",Polytechnic University of Catalonia,Spain,Cataluña,24755.1395,29812,ES,Polytechnic University of Catalonia,2475.51395
"43.078652, 25.628291",Veliko Tarnovo University,Bulgaria,Severen tsentralen,14946.75,18000,BG,Veliko Tarnovo University,1494.675
"45.56027778, 18.67027778",University of Osijek,Croatia,Panonska Hrvatska,16607.5,20000,HR,University of Osijek,1660.75
"42.88333333, 20.86666667",University of PriÅ¡tina (North Mitrovica),XK,Kosovo,8087.8525,9740,XK,University of Priština (North Mitrovica),808.78525
"50.455, 30.4551",Ukrainian State University of Finance and International Trade,,,1850.0755,2228,,Ukrainian State University of Finance and International Trade,185.00755
"50.4382, 30.5199",National University of Physical Education and Sport of Ukraine,,,2491.125,3000,,National University of Physical Education and Sport of Ukraine,249.1125
"48.92277778, 24.71055556",Ivano-Frankivsk National Technical University of Oil and Gas,,,8303.75,10000,,Ivano-Frankivsk National Technical University of Oil and Gas,830.375
"35.10886207, 32.84530637",European University of Lefke,Cyprus,Kýpros,2634.779875,3173,CY,European University of Lefke,263.4779875
"59.41722222, 10.48344444",University of South-Eastern Norway,,,15511.405,18680,,University of South-Eastern Norway,1551.1405
"59.91333333, 10.73888889",Oslo Metropolitan University,Norway,Oslo og Viken,16607.5,20000,NO,Oslo Metropolitan University,1660.75
"47.5108, 19.0721",Haynal Imre University of Health Sciences,Hungary,Budapest,1076.166,1296,HU,Haynal Imre University of Health Sciences,107.6166
"50.35805556, 3.523333333",INSA Hauts-de-France,France,Nord-Pas de Calais,1781.154375,2145,FR,INSA Hauts-de-France,178.1154375
"45.75083333, 3.110833333",National Polytechnic Institute of Clermont Auvergne,France,Auvergne,2384.006625,2871,FR,National Polytechnic Institute of Clermont Auvergne,238.4006625
"47.91, 33.39",Q135580139,,,1660.75,2000,,Q135580139,166.075
"40.63, 22.95805556",Aristotle University of Thessaloniki,Greece,Central Macedonia,78885.625,95000,Greece,Aristotle University of Thessaloniki,7888.5625
