location,name,country,province,kg_n_per_year,capacity,country_code,name_en,kg_p_per_year
"47.37987847, 8.178303557",Prison Lenzburg,Switzerland,Nordwestschweiz,497.0,299.0,CH,Prison Lenzburg,36.5365
"47.37987847, 8.178303557",Prison Lenzburg,Switzerland,Nordwestschweiz,515.0,310.0,CH,Prison Lenzburg,36.5365
"47.37987847, 8.178303557",Prison Lenzburg,Switzerland,Nordwestschweiz,528.0,318.0,CH,Prison Lenzburg,36.5365
"47.37987847, 8.178303557",Prison Lenzburg,Switzerland,Nordwestschweiz,603.0,363.0,CH,Prison Lenzburg,36.5365
"47.17055556, 8.637777777",Q97441404,Switzerland,Zentralschweiz,179.0,108.0,CH,Q97441404,17.9361
"47.17055556, 8.637777777",Q97441404,Switzerland,Zentralschweiz,196.0,118.0,CH,Q97441404,17.9361
"47.17055556, 8.637777777",Q97441404,Switzerland,Zentralschweiz,199.0,120.0,CH,Q97441404,17.9361
"46.04722222, 8.976666666",Q97577931,Switzerland,Ticino,233.0,140.0,CH,Q97577931,23.2505
"46.04722222, 8.976666666",Q97577931,Switzerland,Ticino,251.0,151.0,CH,Q97577931,23.2505
"46.04722222, 8.976666666",Q97577931,Switzerland,Ticino,272.0,164.0,CH,Q97577931,23.2505
"46.04638889, 8.976111111",La Farera prison,Switzerland,Ticino,146.0,88.0,CH,La Farera prison,14.6146
"43.6721743, 25.15531633",Belene Prison,Romania,Sud-Muntenia,772.0,465.0,RO,Belene Prison,77.2249
"42.3702, 23.0096",Bobov Dol Prison,Bulgaria,Yugozapaden,913.0,550.0,BG,Bobov Dol Prison,91.3413
"47.17430556, 20.19988889",Jász-Nagykun-Szolnok County Remand Prison,Hungary,Észak-Alföld,233.0,140.0,HU,Jász-Nagykun-Szolnok County Remand Prison,23.2505
"42.74855556, -8.655444444",Q131850498,Spain,Galicia,2823.0,1700.0,ES,Q131850498,282.327
"50.89603, 4.42689",Prison of Haren,Belgium,Prov. Vlaams-Brabant,1976.0,1190.0,BE,Prison of Haren,197.629
"51.196361, 4.306778",Beveren prison,Belgium,Prov. Antwerpen,518.0,312.0,BE,Beveren prison,51.8154
"49.684, 5.807231",Arlon prison,Belgium,Prov. Luxembourg (BE),184.0,111.0,BE,Arlon prison,18.4343
"43.118, 5.9287",Bagne of Toulon,France,Provence-Alpes-Côte d’Azur,6643.0,4000.0,FR,Bagne of Toulon,664.3
"49.0136, 8.38528",Justizvollzugsanstalt Karlsruhe,Germany,Karlsruhe,223.0,134.0,DE,Justizvollzugsanstalt Karlsruhe,22.254
"48.8949, 8.71209",Abschiebungshafteinrichtung Pforzheim,Germany,Karlsruhe,249.0,150.0,DE,Abschiebungshafteinrichtung Pforzheim,24.9112
"49.436, 11.8602",Amberg Prison,Germany,Oberpfalz,862.0,519.0,DE,Amberg Prison,86.1929
"49.436, 11.8602",Amberg Prison,Germany,Oberpfalz,1827.0,1100.0,DE,Amberg Prison,86.1929
"49.4373084, 11.8588102",Amberg Prison,Germany,Oberpfalz,862.0,519.0,DE,Amberg Prison,86.1929
"49.4373084, 11.8588102",Amberg Prison,Germany,Oberpfalz,1827.0,1100.0,DE,Amberg Prison,86.1929
"47.49759576, 11.08846769",Gefängnis,Germany,Oberbayern,85.0,51.0,DE,Gefängnis,8.46983
"47.76897, 9.63219",Justizvollzugsanstalt Ravensburg,Germany,Tübingen,767.0,462.0,DE,Justizvollzugsanstalt Ravensburg,76.7267
"48.705, 9.65237",Jugendarrestanstalt Göppingen,Germany,Stuttgart,66.0,40.0,DE,Jugendarrestanstalt Göppingen,6.643
"49.014, 12.0866",Justizvollzugsanstalt Regensburg,Germany,Oberpfalz,311.0,187.0,DE,Justizvollzugsanstalt Regensburg,31.056
"47.9826, 10.1884",Justizvollzugsanstalt Memmingen,Germany,Schwaben,249.0,150.0,DE,Justizvollzugsanstalt Memmingen,24.9112
"48.8705, 12.5858",Justizvollzugsanstalt Straubing,Germany,Niederbayern,1403.0,845.0,DE,Justizvollzugsanstalt Straubing,140.333
"51.101, 12.4365",Jugendstrafvollzugsanstalt Regis-Breitingen,Germany,Leipzig,624.0,376.0,DE,Jugendstrafvollzugsanstalt Regis-Breitingen,62.4442
"49.403, 9.37906",Adelsheim prison,Germany,Karlsruhe,693.0,417.0,DE,Adelsheim prison,69.2533
"49.8931, 10.8835",Bamberg Prison,Germany,Oberfranken,344.0,207.0,DE,Bamberg Prison,34.3775
"51.9854, 8.44222",Justizvollzugsanstalt Bielefeld-Brackwede,Germany,Detmold,915.0,551.0,DE,Justizvollzugsanstalt Bielefeld-Brackwede,91.5073
"49.1304, 8.60266",Justizvollzugsanstalt Bruchsal,Germany,Karlsruhe,996.0,600.0,DE,Justizvollzugsanstalt Bruchsal,99.645
"49.1364, 9.225",Justizvollzugsanstalt Heilbronn,Germany,Stuttgart,533.0,321.0,DE,Justizvollzugsanstalt Heilbronn,53.3101
