WWTP name,Latitude,Longitude,Capacity (p.e),N kg/per year,country,province,nuts2_id,country_code
BIO-PAK 500,51.6047,19.6917,6869,30086.22,Poland,Łódzkie,PL71,Poland
Lubochnia,51.5918,20.0547,7145,31295.1,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Ścieków w Szczercowie,51.2013,19.6144,8000,35040.0,Poland,Łódzkie,PL71,Poland
Gidle,50.9645,19.4579,2917,12776.46,Poland,Łódzkie,PL71,Poland
Bartoszówka,51.639,20.3257,2549,11164.62,Poland,Łódzkie,PL71,Poland
Lgota Wielka,51.1534,19.3346,5283,23139.54,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Ścieków w Żurawi,51.7965,20.4601,8000,35040.0,Poland,Łódzkie,PL71,Poland
Gminna Oczyszczalnia Ścieków w Krzeczowie,51.196,18.7598,6577,28807.26,Poland,Łódzkie,PL71,Poland
Spała,51.5394,20.1386,1183,5181.54,Poland,Łódzkie,PL71,Poland
Zakościele,51.5339,20.2608,2102,9206.76,Poland,Łódzkie,PL71,Poland
"Oczyszczalnia Ścieków """"""""""""""""""""""""""""""""Bolesławiec""""""""""""""""""""""""""""""""",51.2041,18.1842,4311,18882.18,Poland,Łódzkie,PL71,Poland
Lipce Reymontowskie,51.914,19.9452,2600,11388.0,Poland,Łódzkie,PL71,Poland
Mokrsko,51.1763,18.4618,4032,17660.16,Poland,Łódzkie,PL71,Poland
LEMNA,51.1664,19.4718,5428,23774.64,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Ścieków w Paradyżu,51.3088,20.1268,3802,16652.76,Poland,Łódzkie,PL71,Poland
ECOLO-CHIEF,51.30706,20.28004,6700,29346.0,Poland,Łódzkie,PL71,Poland
Rokiciny,51.6659,19.7999,6000,26280.0,Poland,Łódzkie,PL71,Poland
OŚ Wolbórz,51.50253,19.84809,5190,22732.2,Poland,Łódzkie,PL71,Poland
Libiszów,51.44,20.3269,1900,8322.0,Poland,Łódzkie,PL71,Poland
Uniejów,51.5951,18.4725,9000,39420.0,Poland,Łódzkie,PL71,Poland
Biała Druga,51.1536,18.275,4333,18978.54,Poland,Łódzkie,PL71,Poland
Oczyszczalnia Ścieków,51.2539,20.1745,2148,9408.24,Poland,Łódzkie,PL71,Poland
Gminna Oczyszczalnia Ujazd,51.5904,19.9258,11750,51465.0,Poland,Łódzkie,PL71,Poland
Romer Media sp. Z o.o.,51.6138,19.9328,1377,6031.26,Poland,Łódzkie,PL71,Poland
Gorzowska Oczyszczalnia Ścieków,52.7158,15.1482,239800,1050324.0,Poland,Lubuskie,PL43,Poland
Łącza,52.001,15.46017,310500,1359990.0,Poland,Lubuskie,PL43,Poland
Przedsiębiorstwo Oczyszczania Ścieków Gubin-Guben sp.z.o.o.,51.9722,14.7116,90000,394200.0,Germany,Brandenburg,DE40,Germany
"SWŚ """"""""""""""""""""""""""""""""Złota Struga""""""""""""""""""""""""""""""""",51.64583,15.16979,41954,183758.52,Poland,Lubuskie,PL43,Poland
Żagańskie Wodociągi i Kanalizacje Sp. z o.o. w Żaganiu,51.3848,15.1739,75000,328500.0,Poland,Dolnośląskie,PL51,Poland
Centralna Oczyszczalnia Ścieków,51.8235,15.7229,71050,311199.0,Poland,Lubuskie,PL43,Poland
Świebodzin,52.2565,15.5536,39600,173448.0,Poland,Lubuskie,PL43,Poland
Wilkowo,52.2523,15.4525,1442,6315.96,Poland,Lubuskie,PL43,Poland
LEMNA,52.0754,15.8847,9000,39420.0,Poland,Lubuskie,PL43,Poland
Oczyszczalnia Ścieków w Wiechlicach,51.55389,15.57389,37500,164250.0,Poland,Lubuskie,PL43,Poland
Krosno Odrzańskie,52.0514,15.1169,16636,72865.68,Poland,Lubuskie,PL43,Poland
Miejska Oczyszczalnia Ścieków,52.5213,15.3246,27500,120450.0,Poland,Lubuskie,PL43,Poland
Nowy Świat,52.0617,15.6019,25075,109828.5,Poland,Lubuskie,PL43,Poland
Oczyszczalnia Ścieków Wschowa,51.7903,16.3144,18000,78840.0,Poland,Lubuskie,PL43,Poland
Kostrzyn nad Odrą,52.6,14.644,25725,112675.5,Poland,Lubuskie,PL43,Poland
Obra,52.4541,15.5619,38000,166440.0,Poland,Lubuskie,PL43,Poland
MOS SŁUBICE,52.3712,14.5884,24658,108002.04,Poland,Lubuskie,PL43,Poland
Lubskie Wodociągi i Kanalizacja Sp. z o.o.,51.7935,14.9485,21708,95081.04,Poland,Lubuskie,PL43,Poland
Białczyk,52.3958,14.5421,27000,118260.0,Poland,Lubuskie,PL43,Poland
Drezdenko,52.8445,15.8216,23600,103368.0,Poland,Lubuskie,PL43,Poland
Sulęcin,52.4604,15.1139,14234,62344.92,Poland,Lubuskie,PL43,Poland
Oczyszczalnia Ścieków Podbrzezie Dolne,51.7666,15.5997,11750,51465.0,Poland,Lubuskie,PL43,Poland
Miejska Oczyszczalnia Ścieków w Skwierzynie,52.5965,15.4914,14585,63882.3,Poland,Lubuskie,PL43,Poland
Oczyszczalnia Ścieków w Sławie,51.8855,16.0839,45000,197100.0,Poland,Lubuskie,PL43,Poland
Nowe Miasteczko,51.7006,15.7308,3818,16722.84,Poland,Lubuskie,PL43,Poland
Oczyszczalnia Ścieków W Iłowej,51.3102,15.1256,10000,43800.0,Poland,Dolnośląskie,PL51,Poland
Oczyszczalnia Ścieków W Zbąszynku,52.15348,15.50171,11467,50225.46,Poland,Lubuskie,PL43,Poland
Oczyszczalnia w Rzepinie,52.3441,14.8322,7425,32521.5,Poland,Lubuskie,PL43,Poland
Oczyszczalnia w Drzeńsku,52.3869,14.769,3600,15768.0,Poland,Lubuskie,PL43,Poland
Oczyszczalnia Ścieków w Nowogrodzie Bobrzańskim,51.8095,15.2413,6500,28470.0,Poland,Lubuskie,PL43,Poland
Stare Kurowo,52.848,15.666,3548,15540.24,Poland,Lubuskie,PL43,Poland
Boczów,52.3171,14.9396,2400,10512.0,Poland,Lubuskie,PL43,Poland
